ID1;ID;D;SD;MATERIAL;COUNTRY;SITE;PERIOD;REFERENCE;SC
;$AL-1;7990;45;;Albania;Sovjan;mesolithic;;AL2SOV
;$GR2-1;7770;340;;Greece;Sidari;mesolithic;(Berger J.-F., et al., 2014);GR2SID
;$IT-10;6040;80;;Italy;San Domenico ;neolithic;Fiorentino 13;IT2SDO
;$IT2-00;7300;60;;Italy;Terragne;mesolithic;;IT2TER
;$IT2-1;7267;65;;Italy;Forlì, Cantiere ANAS;mesolithic;(Gobbo I., 2010: 163-164;IT2FOCA
;$IT2-10;6422;50;;Italy;Riccione;neolithic;"(Bernabò Brea M., et al., 2011; Gobbo I., 2000)";IT2RICC
;$IT2-2;6247;132;;Italy;Grotta dei Piccion;neolithic;(Grifoni Cremonesi R., 1998);IT2GRPI
;$IT2-3;6430;80;;Italy;San Marco di Gubbio;neolithic;"(Grifoni Cremonesi R, 1998;";IT2SMGU
;$IT2-4;6270;70;;Italy;San Marco di Gubbio;neolithic;"(Grifoni Cremonesi R, 1998;";IT2SMGU
;$IT2-5;5750;70;;Italy;San Marco di Gubbio;neolithic;"(Grifoni Cremonesi R, 1998;";IT2SMGU
;$IT2-6;6638;75;;Italy;Maddalena di Muccia;neolithic;(Conati Barbaro C. & Silvestrini M., 2005):;IT2MAUC
;$IT2-7;6637;83;;Italy;Maddalena di Muccia;neolithic;(Conati Barbaro C. & Silvestrini M., 2005):;IT2MAUC
;$IT2-8;6640;50;;Italy;Maddalena di Muccia;neolithic;(Conati Barbaro C. & Silvestrini M., 2005):;IT2MAUC
;$IT2-9;6885;50;;Italy;Portonovo di Ancona;neolithic;A. Manfredini, et al., (2005;IT2POANC
;a;5570;40;;Italy;Capo Rondinella ;neolithic;Fiorentino 13;IT2CRO
;b;6060;60;;Italy;Capo Rondinella ;neolithic;Fiorentino 13;IT2CRO
;c;6340;40;;Italy;Capo Rondinella ;neolithic;Fiorentino 13;IT2CRO
;d;6130;80;;Italy;Capo Rondinella ;neolithic;Fiorentino 13;IT2CRO
;AEC-1996C;6360;180;;Italy;Fonte Chiarano;mesolithic;(Lubell D., et al., 1999);IT2FOCH
;ALTL-2720A;6178;55;;Italy;Defensola ;neolithic;Fiorentino 13;IT2DEF
;AR-351;6540;65;;Italy;Scaramella ;neolithic;Fiorentino 13;IT2SCM
;Beta-;6360;70;;Italy;San Domenico ;neolithic;Fiorentino 13;IT2SDO
